"keywords"
"agricultural robot"
"animal equipment"
"bean harvester"
"beaverslide"
"biorefinery"
"bird scarer"
"broadcast spreader"
"brush hog"
"carrot harvester"
"cherry picker"
"chicken harvester"
"combine harvester"
"corn sheller"
"cotton picker"
"coulter (agriculture)"
"cultipacker"
"destoner"
"diagnostic tool"
"disc harrow"
"drag harrow"
"drawbar (haulage)"
"drill (agriculture)"
"drone"
"drum chopper"
"farming equipment"
"feed mixer"
"gravity wagon"
"hay conditioner"
"hay elevator"
"hay rake"
"hog oiler"
"horse engine"
"innovative device"
"loader"
"machine and tractor station"
"machinery"
"machinery ring"
"manure spreader"
"milking machine"
"mixer-wagon"
"mower blade"
"mower-conditioner"
"plowshare"
"portable engine"
"potato harvester"
"potato planter"
"ransome victory plough"
"reaper"
"reaper-binder"
"rice huller"
"rice transplanter"
"roll over protection structure (ROPS)"
"roller (agricultural tool)"
"roller mower"
"rotary mower"
"screw conveyor"
"seed drill"
"seed germinator"
"shear grab"
"skid-steer loader"
"soil management technology"
"sprayer"
"spring-tooth harrow"
"stone picker"
"stump-jump plough"
"subsoiler"
"sugarcane harvester"
"technology"
"tedder (machine)"
"telescopic handler"
"three-point hitch"
"threshing board"
"threshing machine"
"threshing stone"
"tillage machine"
"tractor"
"tractor PTO auger"
"tree spade"
"warehouse"
"weed hook"
"weeding fork"
"wide span vehicle"
