CMEF - CMES,CCSE/SCSE,CMEF/CMES
Evaluation indicators,Indicateurs,Indikatoren
Evaluation questions,Questions évaluatives,Bewertungsfragen
Intervention logic,Logique d'intervention,Interventionslogik
Evaluation governance ,Gouvernance de l'évaluation,Governance von Bewertungsprozessen
Data for evaluation,Données liées à l'évaluation,Daten für die Bewertung
Evaluation plan,Le plan d'évaluation,Bewertungsplan
Annual implementation reports,Rapports annuels sur la mise en œuvre,Jährliche Durchführungsberichte
Ex ante evaluation,Evaluation ex ante,Ex-ante Bewertung
Ex post evaluation,Evaluation ex post,Ex-post Bewertung
Evaluation Methods,Méthodes d'évaluation,Bewertungsmethoden
Qualitative methods,Méthodes qualitatives,Qualitative Methoden
Quantitative methods,Méthodes quantitatives,Quantitative Methoden
Mixed approaches,Approches mixtes,Methodenmix
Evaluation Topics,Sujets de l'évaluation,Bewertungsthemen
Environmental impacts,Impacts environnementaux,Umweltwirkungen
Socio-economic impacts,Impacts socio-économiques,Sozio-ökonomische Wirkungen
NRN Evaluation,Evaluation des RRN,Bewertung von Nationalen Netzwerken für ländliche Entwicklung
LEADER-CLLD Evaluation,Evaluation de LEADER/CLLD,Bewertung von LEADER/CLLD
Evaluation of Innovation,Evaluation de l'innovation,Bewertung von Innovation
Evaluation of Technical Assistance,Evaluation de l'assistance technique,Bewertung von Technischer Hilfe
